title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Szef kuchni,Olsztyn,13 lutego 2018,400233947,Pełny etat,Umowa o pracę,  ,44
Studenci do pracy przy sprzedaży zapiekanek !,Kraków,13 lutego 2018,386728709,Pełny etat,Umowa zlecenie,  ,1074
Pracuj po swojemu w Burger King Bielany Wrocławskie!,Wrocław,13 lutego 2018,337080032,Pełny etat,Umowa o pracę,  ,1924
BARISTA poszukiwany :),Olsztyn,13 lutego 2018,405106623,Niepełny etat,Umowa zlecenie,13  -  14 zł/godz.,2060
Poszukujemy Baristów,Wrocław,13 lutego 2018,400756279,Pełny etat,Umowa o pracę,2 000  -  3 000 zł/mies.,1317
Dołącz do zespołu Pizza Hut jako Kucharz,Jelenia Góra,13 lutego 2018,316044464,Pełny etat,Umowa zlecenie,13  -  15 zł/godz.,1145
Ciekawa propozycja pracy w kebabie,Warszawa,13 lutego 2018,406017473,Niepełny etat,Umowa zlecenie,1 350  -  2 050 zł/mies.,2584
Poszukujemy pomocy kucharza i pizzermana w jednym,Łódź,13 lutego 2018,414917371,Pełny etat,Inny,  ,154
Pizzeria Cambi zatrudni pomoc kuchenna,Aleksandrów Kujawski,13 lutego 2018,257667373,Pełny etat,Umowa o pracę,  ,660
Barman / barista - wekendy 18zł/godz,Pszczyna,13 lutego 2018,402290577,Niepełny etat,Umowa zlecenie,  ,1726
Pomoc kuchni -zmywak,Warszawa,13 lutego 2018,405824407,Pełny etat,Umowa o pracę,  ,1348
KUCHARZ Małej gastronomii .,Dąbrowa Górnicza,13 lutego 2018,355871306,Pełny etat,Umowa o pracę,  ,2678
Pizzer do Pizzeria Verona,Szubin,13 lutego 2018,397152669,Pełny etat,Umowa o pracę,  ,894
Praca w Pizzeria Alibi Świdnica,Świdnica,13 lutego 2018,356098644,Pełny etat,Umowa o pracę,  ,2066
Pizzerman Al caminetto od zaraz,Bielsko-Biała,13 lutego 2018,157760993,Pełny etat,Umowa o pracę,  ,5595
KIEROWCA/Dostawca Warszawa,Warszawa,13 lutego 2018,409835853,Pełny etat,Inny,2 500  -  3 500 zł/mies.,602
Praca w kawiarni od zaraz!,Warszawa,13 lutego 2018,409814877,Niepełny etat,Umowa zlecenie,  ,1233
Rożen STOPKA zatrudni Panie na stanowisko pomoc kuchenna/sprzedawca,Stopka,13 lutego 2018,386824963,Pełny etat,Umowa o pracę,  ,808
WYCZESANE PORKI szukają kucharza,Poznań,13 lutego 2018,339041034,Pełny etat,Umowa zlecenie,  ,1554
Kelner/ barman- bistro,Strzegom,13 lutego 2018,393452205,Pełny etat,Umowa o pracę,2 000  -  5 000 zł/mies.,1326
Pracownik Restauracji KFC SOŁECZNO!,Słupca,13 lutego 2018,403727869,Pełny etat,Umowa o pracę,  ,2176
Pracownik restauracji Mccafe,Kobyłka,13 lutego 2018,414902107,Pełny etat,Umowa o pracę,  ,51
Pracownik restauracji Mccafe,Zielonka,13 lutego 2018,414902151,Pełny etat,Umowa o pracę,  ,39
Pracownik restauracji Mccafe,Wołomin,13 lutego 2018,414902131,Pełny etat,Umowa o pracę,  ,74
Pracownik restauracji Mccafe,Tłuszcz,13 lutego 2018,414902179,Pełny etat,Umowa o pracę,  ,60
Pracownik restauracji Mccafe,Radzymin,13 lutego 2018,414902197,Pełny etat,Umowa o pracę,  ,73
Praca na zmianę nocną,Warszawa,13 lutego 2018,414902219,Pełny etat,Umowa o pracę,  ,205
Pracownik restauracji,Grodzisk Mazowiecki,13 lutego 2018,414902257,Pełny etat,Umowa o pracę,  ,113
Pracownik restauracji,Bydgoszcz,13 lutego 2018,414902307,Niepełny etat,Umowa o pracę,  ,83
Kucharza z doświadczeniem w robieniu pizzy - Galeria Leszno,Leszno,13 lutego 2018,412376519,Pełny etat,Umowa o pracę,  ,249
Praca dla Kucharza,Wodzisław Śląski,13 lutego 2018,397634949,Pełny etat,Umowa o pracę,  ,499
Cukiernik - Warszawa Śródmieście,Warszawa,13 lutego 2018,373267293,Pełny etat,Umowa zlecenie,  ,1465
Kelner/kelnerka,Gliwice,13 lutego 2018,214549739,Pełny etat,Inny,  ,3890
Kelnerka - Galeria Leszno,Leszno,6 lutego 2018,412378549,Pełny etat,Umowa o pracę,  ,571
Restauracja KFC Gemini Park zatrudni pracowników restauracji,Bielsko-Biała,13 lutego 2018,318333180,Pełny etat,Umowa o pracę,  ,953
Kelner / Kelnerka,Sandomierz,13 lutego 2018,359980272,Pełny etat,Umowa o pracę,  ,158
Personel do tuk tuk'a,Warszawa,13 lutego 2018,412535789,Pełny etat,Umowa zlecenie,  ,1081
Osoba do przygotowywania i serwowania śniadań w pensjonacie,Gdańsk,13 lutego 2018,414755945,Niepełny etat,Inny,  ,219
Kelnerki Do Nowej Restauracji,Lublin,13 lutego 2018,409853789,Pełny etat,Umowa o pracę,  ,1338
Restauracja mcdonalds ul. Laubitza 1,Inowrocław,13 lutego 2018,414019807,Pełny etat,Umowa o pracę,  ,191
Praca w restauracji KFC KROMERA,Wrocław,13 lutego 2018,410539453,Niepełny etat,Umowa zlecenie,13  -  16 zł/godz.,411
Pracownik restauracji,Tłuszcz,13 lutego 2018,414908777,Pełny etat,Umowa o pracę,  ,110
Pracownik restauracji,Zielonka,13 lutego 2018,414908743,Pełny etat,Umowa o pracę,  ,62
Kelnerka do włoskiej restauracji w Przeźmierowie,Przeźmierowo,13 lutego 2018,414065563,Pełny etat,Umowa o pracę,2 800  -  3 500 zł/mies.,160
Pomoc Kuchenna,Kraków,12 lutego 2018,414433245,Pełny etat,Umowa o pracę,  ,501
Pracownik restauracji,Radzymin,13 lutego 2018,414908763,Pełny etat,Umowa o pracę,  ,97
Burgerownia Wadowice Szuka Pracownika,Wadowice,13 lutego 2018,359133360,Pełny etat,Umowa o pracę,  ,8993
Pracownik restauracji,Wołomin,13 lutego 2018,414908721,Pełny etat,Umowa o pracę,  ,89
Praca w nowej restauracji KOKU Sushi - kelner/ka,Kalisz,13 lutego 2018,362121930,Pełny etat,Umowa o pracę,  ,2346
"Sprzedawca hot dogów i zapiekanek wyspa ""Freds"" factory Modlniczka",Kraków,13 lutego 2018,401171419,Pełny etat,Umowa o pracę,  ,581
Praca dla kelnerki i barmana,Lublin,13 lutego 2018,414876713,Pełny etat,Umowa zlecenie,  ,454
"KUCHARZ kuchni ciepłej, grill - Restauracje Street",Warszawa,13 lutego 2018,412723603,Pełny etat,Umowa o pracę,3 500  -  4 500 zł/mies.,749
"Restauracja""Wilanowska 25""zatrudni na stanowisko kelner/kelnerka",Józefosław,13 lutego 2018,382045701,Pełny etat,Umowa o pracę,  ,1010
Restauracja hotelowa zatrudni kelnerki i kelnerów,Warszawa,13 lutego 2018,377067539,Pełny etat,Umowa o pracę,  ,755
Kucharz,Józefosław,13 lutego 2018,407962069,Pełny etat,Umowa o pracę,  ,235
Barista - pracownik kawiarni Starbucks Brama Portowa Szczecin,Szczecin,13 lutego 2018,414875831,Niepełny etat,Umowa zlecenie,  ,167
Dziewczyny do pracy za barem w kawiarnio-cukierni,Białystok,13 lutego 2018,162737553,Pełny etat,Inny,  ,300
Pizzer Weekendowy na Tarchominie,Warszawa,13 lutego 2018,409647335,Niepełny etat,Umowa zlecenie,  ,88
Praca w barze w Ciechanowie,Ciechanów,13 lutego 2018,339633532,Pełny etat,Umowa zlecenie,  ,7180
Kucharzy do włoskiej resutaracji,Gdańsk,13 lutego 2018,352855836,Pełny etat,Umowa o pracę,  ,444
Młodszy kucharz restauracja tajska,Poznań,13 lutego 2018,412613211,Pełny etat,Umowa o pracę,  ,278
Pizzer Piaseczno (umowa o pracę),Piaseczno,13 lutego 2018,402477461,Pełny etat,Umowa o pracę,  ,1222
Restauracja MUGA zatrudni doświadczoną osobę na stanowisko kelnera,Poznań,13 lutego 2018,360325008,Pełny etat,Umowa o pracę,  ,4267
Zatrudnimy kelnerki/kelnerów,Białystok,13 lutego 2018,273210547,Pełny etat,Inny,  ,268
Pizzer,Kębłowo,13 lutego 2018,359996776,Pełny etat,Inny,  ,355
Kucharz do nowej Restauracji Tex-Mex,Katowice,13 lutego 2018,391736103,Pełny etat,Inny,  ,930
Pracownik Cukierni/Cukiernik,Warszawa,13 lutego 2018,386026373,Pełny etat,Umowa zlecenie,  ,2304
Sprzątanie kuchni / catering,Warszawa,13 lutego 2018,414890835,Niepełny etat,Umowa zlecenie,13  -  15 zł/godz.,184
Kucharz / Pomocnik kucharza Cristal Resort,Szklarska Poręba,13 lutego 2018,318596386,Pełny etat,Umowa o pracę,  ,1824
Kucharz,Wrocław,13 lutego 2018,414891181,Pełny etat,Umowa o pracę,  ,133
McDonald`s - Studia dzienne i praca Weekendowa przy Legnickiej,Wrocław,13 lutego 2018,340676336,Niepełny etat,Umowa o pracę,  ,4705
Praca w restauracji KFC DELIKATESY,Wrocław,12 lutego 2018,412479245,Niepełny etat,Umowa zlecenie,14  -  16 zł/godz.,345
Praca w Restauracji Jabłona w Powidzu - Pomoc Kuchenna,Powidz,13 lutego 2018,382134063,Pełny etat,Umowa o pracę,  ,1521
Zatrudnimy Kelnerki / Kelnerów !,Warszawa,13 lutego 2018,414858245,Pełny etat,Umowa zlecenie,13  -  15 zł/godz.,195
Poszukujemy osoby do poprowadzenia wieczorów kareoke w restauracji !,Łódź,13 lutego 2018,414858189,Dodatkowa / sezonowa,Umowa zlecenie,  ,427
Gliwice Toszecka - Pracownik Restauracji McDonald's,Gliwice,13 lutego 2018,334672732,Pełny etat,Umowa o pracę,  ,2094
Kelnerów / kelnerki do restauracja w centrum miasta,Warszawa,13 lutego 2018,173364117,Pełny etat,Umowa zlecenie,4 000  -  6 000 zł/mies.,515
Kucharz małej gastronomii,Szczecin,13 lutego 2018,414856989,Pełny etat,Inny,  ,118
Zatrudnimy osobę niepełnosprawną.,Otłoczyn,13 lutego 2018,414861617,Pełny etat,Umowa o pracę,  ,142
Poszukiwana kelnerka,Bydgoszcz,13 lutego 2018,360317848,Niepełny etat,Umowa zlecenie,  ,2349
Pomoc kuchenna,Chłapowo,13 lutego 2018,414860695,Pełny etat,Umowa zlecenie,  ,79
Klub bilardowy szuka BARBACKÓW!,Wrocław,13 lutego 2018,361505232,Niepełny etat,Umowa zlecenie,  ,634
Kucharz do bistro,Kraków,13 lutego 2018,369002744,Pełny etat,Umowa o pracę,  ,155
Zatrudnimy pracowników do Hotelu Focus,Łódź,13 lutego 2018,414861935,Pełny etat,Umowa zlecenie,  ,446
"Kucharka/kucharz – prosta kuchnia polska, fast food",Warszawa,13 lutego 2018,335376946,Pełny etat,Umowa o pracę,  ,121
OBSŁUGA KLIENTA - Tacamole Mexican Grill,Warszawa,13 lutego 2018,321330992,Pełny etat,Umowa zlecenie,  ,1600
Poszukiwani BARMANI z doświadczeniem!!!,Wrocław,13 lutego 2018,323390512,Pełny etat,Umowa o pracę,  ,3514
"SPIŻARNIA SMAKÓW zatrudni: kucharza zmianowego, pierogarki, pomoc",Supraśl,13 lutego 2018,414862043,Pełny etat,Inny,  ,65
Chorzów - Pracownik Restauracji McDonald's,Chorzów,13 lutego 2018,405201777,Niepełny etat,Umowa o pracę,  ,2543
Praca w McDonald's Wrocław Karkonoska /Krzyki/,Wrocław,13 lutego 2018,178453443,Pełny etat,Umowa o pracę,  ,5042
Kelnerka 12 zł na rękę,Szczecin,13 lutego 2018,279710105,Pełny etat,Umowa zlecenie,  ,6235
Zatrudnię na stanowsiko kelner(ka)/barman(ka). Praca od zaraz !,Piekary Śląskie,13 lutego 2018,414865633,Pełny etat,Umowa o pracę,  ,160
Poszukujemy kucharza,Nowe Miasto nad Pilicą,13 lutego 2018,412093845,Pełny etat,Umowa o pracę,  ,94
Kelner/kelnerka,Lublin,13 lutego 2018,218627807,Pełny etat,Umowa o pracę,  ,8644
Kucharz,Lublin,13 lutego 2018,271957665,Pełny etat,Umowa o pracę,  ,2740
Praca w gastronomii,Gniezno,13 lutego 2018,414863771,Niepełny etat,Umowa o pracę,  ,354
Legendia Śląskie Wesołe Miasteczko zatrudni Pracowników Gastronomii,Chorzów,13 lutego 2018,341312904,Dodatkowa / sezonowa,Umowa zlecenie,  ,5173
PRACA DODATKOWA Pracownik Restauracji Burger King Zodiak,Warszawa,13 lutego 2018,276523227,Niepełny etat,Umowa o pracę,  ,8432
Kelner-Sprzedawca . Cukiernia Saska,Warszawa,13 lutego 2018,403150021,Pełny etat,Umowa o pracę,  ,739
Praca w kuchni/pomoc kuchenna,Katowice,13 lutego 2018,376484617,Pełny etat,Umowa o pracę,15  -  16 zł/godz.,994
Przyjmę do pracy w małej gastronomii,Piła,13 lutego 2018,414868129,Pełny etat,Umowa o pracę,2 500  -  2 800 zł/mies.,407
Osoba smacznie gotujaca,Warszawa,13 lutego 2018,402853745,Pełny etat,Umowa o pracę,  ,987
Sprzątanie lokalu oraz pomoc kelnerska,Rzeszów,13 lutego 2018,414836687,Pełny etat,Umowa o dzieło,1 800  -  2 000 zł/mies.,103
Praca w restauracji KFC Pasaż Grunwaldzki,Wrocław,13 lutego 2018,410468981,Niepełny etat,Umowa zlecenie,13  -  16 zł/godz.,346
Pizzeria w Centrum zatrudni na stanowisko Kelner/Barman,Bydgoszcz,13 lutego 2018,408324849,Pełny etat,Umowa zlecenie,13  -  14 zł/godz.,481
Przyjmę kucharza na staż/zatrudnię kucharza,Czeladź,13 lutego 2018,414835619,Praktyka / staż,Inny,  ,73
Barmanka/kelnerka,Olsztyn,13 lutego 2018,414856493,Pełny etat,Umowa o pracę,15  -  17 zł/godz.,315
Praca w restauracji KFC Galeria Dominikańska,Wrocław,13 lutego 2018,410471675,Niepełny etat,Umowa zlecenie,13  -  16 zł/godz.,442
BARMAN Piwa Rzemieślnicze_Multitap Kazimierz Dolny,Kazimierz Dolny,13 lutego 2018,319025918,Pełny etat,Umowa o pracę,8  -  12 zł/godz.,612
Kelnerka w restauracji Magnolia,Jawor,13 lutego 2018,414838973,Pełny etat,Umowa o pracę,12  -  15 zł/godz.,113
Praca! Sushi master!,Poznań,13 lutego 2018,414840829,Pełny etat,Umowa o pracę,15  -  20 zł/godz.,148
Kucharka na pełny etat,Ruda Śląska,13 lutego 2018,412690719,Pełny etat,Umowa o pracę,2 700  -  2 800 zł/mies.,364
Obsługa kelnerska i nie tylko,Kazimierz Dolny,13 lutego 2018,385849869,Niepełny etat,Umowa o pracę,  ,1215
"Kucharz kuchni ciepłej, zimnej i produkcji",Warszawa,13 lutego 2018,251404795,Pełny etat,Umowa zlecenie,3 000  -  5 000 zł/mies.,11923
"Kazimierz Dolny_ Kucharz, Pomoc",Kazimierz Dolny,13 lutego 2018,305853444,Pełny etat,Umowa o pracę,8  -  15 zł/godz.,1592
Hotel omega kelner,Olsztyn,13 lutego 2018,414845745,Pełny etat,Umowa o pracę,2 400  -  3 000 zł/mies.,256
Kucharz/pomoc kuchenna,Katowice,13 lutego 2018,264334037,Pełny etat,Inny,  ,4011
Kelnerka do restauracji włoskiej,Warszawa,13 lutego 2018,414846679,Pełny etat,Umowa o pracę,  ,128
Kawiarnia w Konstancinie,Konstancin-Jeziorna,13 lutego 2018,298202592,Niepełny etat,Inny,  ,998
Pomoc na kuchni,Gdańsk,13 lutego 2018,414846137,Niepełny etat,Umowa zlecenie,  ,305
Praca w Pizza Saluto jako kierowca od zaraz!,Gliwice,13 lutego 2018,414847729,Niepełny etat,Umowa o pracę,  ,154
Pomoc kuchni,Łódź,13 lutego 2018,414848573,Pełny etat,Umowa o pracę,  ,352
Bioway Gdynia Riviera Kucharz/Ekspedient,Gdynia,13 lutego 2018,362438008,Pełny etat,Umowa o pracę,  ,84
Zatrudnię Kelnera lub Kelnerkę Karczma Młynówka,Oświęcim,13 lutego 2018,388421213,Pełny etat,Umowa o pracę,11  -  12 zł/godz.,2362
Praca na weekend,Zielona Góra,13 lutego 2018,414847625,Pełny etat,Inny,  ,614
Praca w restauracji KFC DELIKATESY,Wrocław,13 lutego 2018,410478331,Niepełny etat,Umowa zlecenie,14  -  16 zł/godz.,341
Pracownik restauracji,Lublin,13 lutego 2018,328730206,Niepełny etat,Inny,  ,14459
Zatrudnię pomoc kuchenną,Nysa,13 lutego 2018,252615953,Pełny etat,Umowa o pracę,  ,15312
Kucharz z doświadczeniem w kuchni włoskiej,Warszawa,13 lutego 2018,414849345,Pełny etat,Umowa o pracę,  ,93
Zatrudnię sprzedawcę,Wolsztyn,13 lutego 2018,405561847,Pełny etat,Umowa o pracę,  ,1777
"Kucharz poszukiwany! Bielsko-Biała, SZPILKA",Bielsko-Biała,13 lutego 2018,311399422,Pełny etat,Umowa o pracę,3 800  -  4 000 zł/mies.,668
"Pracownik restauracji, Pracownik McCafe, Pracownik Zmiany Nocnej",Rzeszów,13 lutego 2018,412437303,Pełny etat,Umowa o pracę,  ,1450
Wrocław Magnolia-Piekarz,Wrocław,13 lutego 2018,393819087,Pełny etat,Umowa o pracę,  ,933
Pracownik pizzerii,Barcin,13 lutego 2018,361863120,Niepełny etat,Inny,  ,110
PRACA gastronomia,Białystok,13 lutego 2018,414848439,Pełny etat,Umowa o pracę,  ,274
Halo Praca Kule,Opole,13 lutego 2018,371317433,Dodatkowa / sezonowa,Umowa zlecenie,14  -  17 zł/godz.,4013
Praca w restauracji KFC ARKADY,Wrocław,13 lutego 2018,410453163,Niepełny etat,Umowa zlecenie,13  -  16 zł/godz.,358
Kelnerka w Ogniu,Wrocław,13 lutego 2018,399331059,Pełny etat,Inny,1  -  10 000 zł/mies.,1891
Kelner / kelnerka,Gliwice,13 lutego 2018,383510081,Pełny etat,Umowa o pracę,  ,926
Pomoc kuchenna,Katowice,13 lutego 2018,383135709,Pełny etat,Umowa o pracę,  ,1232
Kelner - Bułkę przez Bibułkę KONSTANCIN,Konstancin-Jeziorna,13 lutego 2018,357215996,Pełny etat,Umowa zlecenie,  ,708
Praca w Kuchni Katowice,Katowice,13 lutego 2018,414827177,Niepełny etat,Umowa o pracę,  ,280
Pracownik Restauracji Burger King,Chrzanów,13 lutego 2018,410165321,Pełny etat,Umowa o pracę,  ,699
Pizzer Pizzerman poszukiwany,Łódź,13 lutego 2018,414819697,Niepełny etat,Umowa zlecenie,  ,122
Pomoc kuchenna - oferta pracy,Myszków,13 lutego 2018,414820309,Niepełny etat,Inny,  ,169
Kelnerka na weekendy,Szczecin,13 lutego 2018,414819339,Dodatkowa / sezonowa,Inny,  ,223
Pracownik Restauracji Burger King,Mysłowice,13 lutego 2018,404918517,Pełny etat,Umowa o pracę,  ,1210
Pracownik Restauracji Burger King,Jaworzno,13 lutego 2018,410165301,Pełny etat,Umowa o pracę,  ,413
Hotel Borowina zatrudni - Pomoc Kuchenna,Konstancin-Jeziorna,13 lutego 2018,389569499,Pełny etat,Umowa o pracę,  ,340
Praca szuka człowieka-kierowca(restauracja),Sosnowiec,13 lutego 2018,414802319,Pełny etat,Umowa o pracę,  ,237
Pomoc Kuchenna do kanapek - praca na lotnisku,Warszawa,13 lutego 2018,402812173,Pełny etat,Inny,  ,291
Kucharz,Chorzów,13 lutego 2018,258914513,Pełny etat,Umowa o pracę,  ,1471
Zatrudnimy kelnera-barmana,Lublin,13 lutego 2018,405634647,Pełny etat,Umowa zlecenie,  ,1138
Hostessa,Wrocław,13 lutego 2018,401174639,Pełny etat,Umowa zlecenie,  ,545
Restauracja Olimp zatrudni kucharza Vivo Krosno 13 zł netto,Krosno,13 lutego 2018,412275103,Pełny etat,Umowa o pracę,  ,330
Menager lodziarni/kawiarni Warszawa Śródmieście,Warszawa,13 lutego 2018,414804755,Pełny etat,Umowa o pracę,  ,107
Pomoc w kuchni,Katowice,13 lutego 2018,309918136,Pełny etat,Umowa zlecenie,  ,6373
Pomoc w zmywaniu/ Zmywak/ Bułkę przez Bibułkę,Warszawa,13 lutego 2018,310208302,Pełny etat,Umowa zlecenie,  ,6666
"Kawiarnia KOFEINA Świeradów-Zdrój, barman - barista",Świeradów-Zdrój,13 lutego 2018,414805099,Pełny etat,Inny,  ,45
Kucharza zatrudnimy,Kraków,13 lutego 2018,414804361,Pełny etat,Umowa o pracę,20  -  22 zł/godz.,281
Kucharza/ Pomoc kucharza do hotelu w Nadarzynie zatrudnię,Nadarzyn,13 lutego 2018,341826810,Pełny etat,Umowa o pracę,  ,1063
Pomoc kuchenna/kasjer dla restauracji Burger King Bydgoszcz,Bydgoszcz,13 lutego 2018,319244936,Niepełny etat,Umowa o pracę,  ,11000
Kucharz,Katowice,13 lutego 2018,383916491,Pełny etat,Umowa o pracę,  ,557
Praca w restauracji KFC Bielany Wrocławskie,Wrocław,13 lutego 2018,410440303,Niepełny etat,Umowa zlecenie,14  -  16 zł/godz.,258
Kucharka Wesela Catering,Mierzyn,13 lutego 2018,363509594,Dodatkowa / sezonowa,Umowa zlecenie,15  -  20 zł/godz.,693
"Tutti Santi – świetna praca, super przygoda!",Kraków,13 lutego 2018,363835080,Niepełny etat,Umowa zlecenie,  ,7904
Poszukiwana osoba do pracy na kuchni,Świdnica,13 lutego 2018,414807759,Niepełny etat,Umowa zlecenie,  ,434
